,Player,Year,PPG,RPG,SPG,BPG,ASTO,TS,SOS,VORP
33,Anthony Bennett,2013,15.8709677419,8.09677419355,0.677419354839,1.29032258065,0.508474576272,0.610300684728,0.545072578082,-0.9
34,Reggie Bullock,2013,14.1666666667,6.4,1.33333333333,0.333333333333,2.48571428571,0.636761356826,0.575858642038,-0.3
35,Trey Burke,2013,19.1612903226,3.1935483871,1.64516129032,0.387096774194,3.47540983607,0.594047523802,0.547203433923,-0.1
36,Kentavious Caldwell-Pope,2013,18.0322580645,6.87096774194,2.09677419355,0.548387096774,0.91935483871,0.583409868915,0.566146568786,0.3
37,Michael Carter-Williams,2013,12.5483870968,4.70967741935,2.87096774194,0.548387096774,2.2380952381,0.503990464345,0.595530442421,1.1
38,Brandon Davies,2013,17.625,7.8125,1.40625,1,0.941860465116,0.585062240664,0.537659576136,-0.6
39,Matthew Dellavedova,2013,16.21875,3.3125,1.1875,0.125,2.32954545455,0.580900787966,0.511522607697,-0.1
40,Gorgui Dieng,2013,10.3333333333,10.0833333333,1.41666666667,2.625,1.04545454546,0.567869573182,0.581450936998,0.5
41,Archie Goodwin,2013,14.064516129,4.51612903226,1.12903225806,0.483870967742,0.896907216496,0.511065266317,0.558168078304,-0.3
42,Ryan Kelly,2013,14.6111111111,5.55555555556,0.722222222222,1.55555555556,1.82352941177,0.649960458679,0.639911148966,0.6
43,Shane Larkin,2013,13.6666666667,3.8,1.96666666667,0.133333333333,1.9552238806,0.596346288108,0.603673089926,-0.3
44,Alex Len,2013,11.8387096774,8.06451612903,0.225806451613,1.93548387097,0.5,0.565380823268,0.531242367489,-0.4
45,Ray McCallum,2013,18.78125,5.15625,1.875,0.625,2.23076923077,0.589585622351,0.527377499754,-0.5
46,Ben McLemore,2013,16.6774193548,5.32258064516,1.12903225806,0.709677419355,1.03225806452,0.643739416277,0.57391038123,-0.6
47,Victor Oladipo,2013,13.7419354839,6.22580645161,2.22580645161,0.838709677419,0.942857142857,0.69290826285,0.594615059146,-0.2
48,Kelly Olynyk,2013,17.3448275862,7.03448275862,0.655172413793,1.1724137931,0.761194029849,0.709249858996,0.535750085756,0.1
49,Mason Plumlee,2013,17.1612903226,10.2903225806,0.935483870968,1.54838709677,0.724137931035,0.630690440061,0.623139529438,1.4
50,Phil Pressey,2013,11.8709677419,3.32258064516,1.83870967742,0.0645161290323,1.93859649123,0.483752234725,0.569356619226,-0.7
51,Tony Snell,2013,12.1290322581,2.64516129032,0.741935483871,0.516129032258,1.36363636364,0.557995963433,0.61565625398,-0.3
52,Jeff Withey,2013,13.6451612903,8.58064516129,0.774193548387,4,0.454545454545,0.63021454112,0.57391038123,0.4
53,Nate Wolters,2013,22.6666666667,5.6,1.73333333333,0.133333333333,2.48529411764,0.618856934838,0.389925920776,-0.5
54,Cody Zeller,2013,16.8064516129,8.06451612903,1.09677419355,1.32258064516,0.609375000001,0.639546302661,0.594615059146,0.2
55,Tarik Black,2014,4.75862068966,3.27586206897,0.310344827586,0.448275862069,0.473684210526,0.670423630004,0.666142904185,0.1
56,Markel Brown,2014,17.1612903226,5.58064516129,0.935483870968,1.09677419355,1.8431372549,0.601374570447,0.565433190131,-0.1
57,Jordan Clarkson,2014,18.0967741935,4.03225806452,1.03225806452,0.193548387097,1.38961038961,0.560775689724,0.552861126787,0.6
58,Langston Galloway,2014,16.9666666667,4.5,1.03333333333,0.533333333333,1.91304347826,0.596577590248,0.554829710871,0.3
59,Aaron Gordon,2014,12.3225806452,7.77419354839,0.709677419355,0.806451612903,1.13953488372,0.502790354849,0.596362370974,-0.2
60,Jerami Grant,2014,11.9655172414,6.75862068966,0.793103448276,0.551724137931,1.32258064516,0.543206011271,0.56769542787,-0.5
61,Gary Harris,2014,17.5,4.28571428571,1.92857142857,0.357142857143,1.54,0.559769694754,0.576497695853,-0.4
62,Joe Harris,2014,11.3548387097,2.90322580645,1,0.225806451613,1.73809523809,0.564247242883,0.572057886899,-0.3
63,Rodney Hood,2014,16.5161290323,4.03225806452,0.774193548387,0.258064516129,1.29166666667,0.612381590278,0.602292238199,-0.3
64,Cory Jefferson,2014,13.3870967742,8.12903225806,0.41935483871,1.41935483871,0.642857142856,0.56899199298,0.567780209791,-0.2
65,Zach LaVine,2014,10.4516129032,2.58064516129,1.03225806452,0.193548387097,1.79411764706,0.56086414624,0.575379176214,-1.2
66,K.J. McDaniels,2014,17.1666666667,7.13333333333,1.2,2.76666666667,0.666666666667,0.565934065934,0.541049285963,-0.2
67,Shabazz Napier,2014,17.7741935484,6,1.83870967742,0.41935483871,1.88235294118,0.595959158951,0.559086347124,0.1
68,Elfrid Payton,2014,19.2903225806,6,2.32258064516,0.548387096774,1.54621848739,0.570262435154,0.466620530067,0.8
69,JaKarr Sampson,2014,12.8387096774,6.06451612903,0.58064516129,0.967741935484,0.679999999999,0.516883116883,0.571325602436,-0.7
70,Marcus Smart,2014,17.9285714286,5.57142857143,2.67857142857,0.571428571429,1.77027027027,0.565978172635,0.549978451285,0.1
71,Nik Stauskas,2014,17.4482758621,3.27586206897,0.620689655172,0.310344827586,1.8679245283,0.663763249029,0.578268877936,-0.5
72,Travis Wear,2014,6.60714285714,3.17857142857,0.714285714286,0.642857142857,2.61538461538,0.557632023149,0.586668682667,-0.7
73,Andrew Wiggins,2014,16.8387096774,5.87096774194,1.16129032258,0.935483870968,0.746268656717,0.576158940397,0.657574544775,-0.2
74,Justin Anderson,2015,12.25,4.125,0.666666666667,0.541666666667,1.57142857142,0.617854741089,0.584070985042,0.1
75,Devin Booker,2015,10.4545454545,1.93939393939,0.454545454545,0.030303030303,1.17647058824,0.615719588806,0.559893479075,-0.6
76,Willie Cauley-Stein,2015,9.32352941176,6.44117647059,1.29411764706,1.64705882353,0.727272727272,0.607931880945,0.557081485993,1
77,Jerian Grant,2015,16.7941176471,3.02941176471,1.67647058824,0.558823529412,3.09589041096,0.609886353926,0.526878965139,-0.2
78,Richaun Holmes,2015,14.7666666667,7.9,0.7,2.7,0.423728813559,0.633001828989,0.476984396904,0.2
79,Stanley Johnson,2015,14.0882352941,6.58823529412,1.5,0.411764705882,0.797297297296,0.559841047218,0.563825440475,-0.1
80,Frank Kaminsky,2015,18.1818181818,8,0.909090909091,1.57575757576,1.8,0.634893761111,0.590550716413,0.3
81,Trey Lyles,2015,8.38709677419,5.09677419355,0.483870967742,0.354838709677,0.970588235293,0.558803301238,0.556037807707,-0.3
82,T.J. McConnell,2015,9.79411764706,3.79411764706,2.08823529412,0.0588235294118,3.25373134329,0.565096388813,0.563825440475,0
83,Jahlil Okafor,2015,17.4838709677,8.64516129032,0.709677419355,1.32258064516,0.564102564102,0.653452932099,0.597761498413,-0.8
84,Cameron Payne,2015,20.3125,3.71875,2.03125,0.53125,2.35443037975,0.575710337986,0.448771583635,-0.1
85,Bobby Portis,2015,17.5294117647,8.64705882353,0.970588235294,1.44117647059,0.725490196078,0.59633394701,0.570329217817,0.1
86,Norman Powell,2015,16.3939393939,4.66666666667,1.93939393939,0.363636363636,0.957142857144,0.543565629773,0.579346897376,0.3
87,Josh Richardson,2015,16.03125,4.46875,2.09375,0.5,1.35294117647,0.565526060499,0.574263460164,0.4
88,Karl-Anthony Towns,2015,9.70588235294,6.67647058824,0.441176470588,2.35294117647,0.86666666667,0.628045066991,0.557081485993,3.2
89,Myles Turner,2015,10.3939393939,6.42424242424,0.30303030303,2.66666666667,0.46511627907,0.569237918216,0.59281533639,-0.1
90,Rashad Vaughn,2015,17.8260869565,4.82608695652,0.782608695652,0.347826086957,0.719999999999,0.552381978875,0.58066059044,-1
91,Justise Winslow,2015,12.3125,6.03125,1.28125,0.75,1.13793103448,0.570815948076,0.595210483845,0.2
92,Ron Baker,2016,14.15625,4.75,1.53125,0.65625,2.125,0.570701471478,0.511118055406,-0.5
93,Malcolm Brogdon,2016,18.7272727273,4.06060606061,0.878787878788,0.181818181818,1.95833333333,0.601494977809,0.605067134603,0.8
94,Jaylen Brown,2016,14.9696969697,5.45454545455,0.818181818182,0.666666666667,0.69387755102,0.529361337334,0.596341132872,-0.1
95,Marquese Chriss,2016,13.1875,5.25,0.90625,1.625,0.40625,0.589319629092,0.576235177447,0.2
96,Kris Dunn,2016,16.0322580645,5.45161290323,2.54838709677,0.645161290323,1.80909090909,0.538811795317,0.570931492453,-0.1
97,Yogi Ferrell,2016,17,3.875,1.15625,0.03125,2.13253012048,0.602623183268,0.533062786607,0.4
98,Dorian Finney-Smith,2016,14.8484848485,8.21212121212,0.818181818182,0.818181818182,1.12903225806,0.586124401914,0.599353353267,0.2
99,Buddy Hield,2016,24.96875,5.59375,1.1875,0.5,0.705263157895,0.668417882479,0.58587186817,-0.4
100,Brandon Ingram,2016,16.8181818182,6.81818181818,1.12121212121,1.39393939394,0.927536231884,0.559070029817,0.598275341639,-1.1
101,Caris LeVert,2016,16.4666666667,5.33333333333,1,0.2,2.95999999999,0.643497290538,0.485724848102,0.3
102,Patrick McCaw,2016,14.7272727273,5.12121212121,2.45454545455,0.393939393939,1.88235294117,0.596114218428,0.51133868659,0.3
103,Jamal Murray,2016,20.1470588235,5.05882352941,1,0.264705882353,0.935897435897,0.6027382796,0.571201019652,-0.3
104,Jakob Poeltl,2016,17.6176470588,8.97058823529,0.588235294118,1.61764705882,0.941176470588,0.685542940853,0.586066576018,0
105,Domantas Sabonis,2016,17.3939393939,11.6060606061,0.575757575758,0.69696969697,0.682926829268,0.669934640523,0.508005656942,0
106,Pascal Siakam,2016,20.2727272727,11.5454545455,0.909090909091,2.24242424242,0.861538461537,0.582306246083,0.469350046959,0
107,Tyler Ulis,2016,17.2424242424,3.15151515152,1.45454545455,0.121212121212,3.8064516129,0.575072768435,0.571464686914,-0.6
108,Denzel Valentine,2016,19.4,7.56666666667,1,0.233333333333,2.89873417722,0.615482233503,0.55504207157,0
109,Isaiah Whitehead,2016,18.4242424242,3.57575757576,1.15151515152,1.45454545455,1.41025641026,0.531022917831,0.557612734954,-1.2
110,Jarrett Allen,2017,13.3939393939,8.45454545455,0.575757575758,1.54545454545,0.309523809524,0.579201174127,0.621148989845,0.7
111,OG Anunoby,2017,11.0625,5.4375,1.3125,1.3125,0.884615384615,0.618362213527,0.560277720876,0.9
112,Dwayne Bacon,2017,16.9090909091,4.0303030303,0.969696969697,0.121212121212,0.848484848485,0.544836744259,0.59049136539,-0.7
113,Lonzo Ball,2017,14.5757575758,6.12121212121,1.93939393939,0.787878787879,3.06024096386,0.67299082158,0.52550740019,1.6
114,Jordan Bell,2017,10.7058823529,8.11764705882,1.32352941176,2.11764705882,0.984126984127,0.658370713356,0.548476915489,1.2
115,Dillon Brooks,2017,16.2666666667,2.9,1.16666666667,0.466666666667,1.35,0.611958266453,0.541970074114,-0.8
116,Sterling Brown,2017,13.3235294118,6.5,1.44117647059,0.558823529412,1.53731343284,0.585331817242,0.529489014917,-0.3
117,John Collins,2017,18.9375,9.84375,0.625,1.625,0.293103448276,0.664065924432,0.591691627622,1.6
118,Zach Collins,2017,10.1818181818,5.69696969697,0.515151515152,1.54545454545,0.282608695652,0.720411663808,0.526266252747,-0.3
119,Tyler Dorsey,2017,13.2941176471,3.32352941176,0.705882352941,0.117647058824,1.29787234042,0.58002258495,0.548476915489,-0.6
120,Damyean Dotson,2017,17.3225806452,6.96774193548,0.903225806452,0.161290322581,1.0625,0.610838110838,0.548017610263,-0.1
121,Jawun Evans,2017,19.0322580645,3.32258064516,1.83870967742,0.129032258065,2.23255813953,0.547594297594,0.584100612386,-0.5
122,De'Aaron Fox,2017,16.125,4.09375,1.4375,0.15625,2,0.552509850951,0.578008257234,-1.2
123,Josh Hart,2017,18.9117647059,6.52941176471,1.52941176471,0.264705882353,1.65625,0.624854233072,0.563381190841,0.6
124,Wesley Iwundu,2017,12.5151515152,6.39393939394,1,0.363636363636,1.42307692307,0.579080201907,0.573665923759,-0.4
125,Josh Jackson,2017,16.3548387097,7.22580645161,1.64516129032,1.06451612903,1.10465116279,0.562283737024,0.571499502033,-1.1
126,Justin Jackson,2017,10.40625,6.125,0.84375,0.78125,0.596153846154,0.557005218788,0.541731502902,-0.5
127,Luke Kennard,2017,20.0857142857,5.25714285714,0.828571428571,0.371428571429,1.52631578948,0.645238270064,0.600471374767,0.1
128,Kyle Kuzma,2017,16.25,9.35714285714,0.607142857143,0.392857142857,1.15,0.571263559663,0.477851494906,0.4
129,Lauri Markkanen,2017,15.6176470588,7.08823529412,0.382352941176,0.5,0.864864864863,0.641118516372,0.583898828175,0.1
130,Frank Mason,2017,20.75,4.125,1.34375,0.0625,2.0375,0.630076671981,0.571103377889,-0.4
131,Donovan Mitchell,2017,15.65625,4.625,2.0625,0.46875,1.50909090909,0.546704495853,0.625118624704,1.9
132,Malik Monk,2017,20.4411764706,2.52941176471,1.02941176471,0.382352941176,1.11111111111,0.597366430585,0.58300064139,-0.5
133,Semi Ojeleye,2017,18.7941176471,6.73529411765,0.411764705882,0.411764705882,1.10416666667,0.636809375747,0.529489014917,-0.4
134,Jayson Tatum,2017,16.8518518519,7.33333333333,1.2962962963,1.07407407407,0.857142857144,0.574669091644,0.613920660857,1.8
135,Sindarius Thornwell,2017,20.9615384615,7.19230769231,2.19230769231,0.923076923077,1.20967741935,0.592185326843,0.586665988581,0.1
